"Gene","Tissue","Group"
"Zrsr1","Oligodendrocyte Precursor Cell","Group enriched"
"Phactr2","Endothelial Cells","Group enriched"
"Phactr2","Astrocytes","Group enriched"
"Phactr2","Oligodendrocyte Precursor Cell","Group enriched"
"Fam171a1","Astrocytes","Group enriched"
"Fam171a1","Myelinating Oligodendrocytes","Group enriched"
"Fam171a1","Endothelial Cells","Group enriched"
"Fam171a1","Neuron","Group enriched"
"Fam171a1","Oligodendrocyte Precursor Cell","Group enriched"
"Fam171a1","Newly Formed Oligodendrocyte","Group enriched"
"Gcnt2","Endothelial Cells","Tissue enriched"
"Abtb2","Newly Formed Oligodendrocyte","Group enriched"
"Abtb2","Oligodendrocyte Precursor Cell","Group enriched"
"Abtb2","Myelinating Oligodendrocytes","Group enriched"
"Abtb2","Astrocytes","Group enriched"
"Bcam","Endothelial Cells","Tissue enriched"
"Pus3","Astrocytes","Group enriched"
"Pus3","Oligodendrocyte Precursor Cell","Group enriched"
"Pus3","Newly Formed Oligodendrocyte","Group enriched"
"Pus3","Endothelial Cells","Group enriched"
"Pus3","Neuron","Group enriched"
"Pus3","Myelinating Oligodendrocytes","Group enriched"
"Pgm2l1","Neuron","Tissue enriched"
"Adora2b","Astrocytes","Group enriched"
"Adora2b","Oligodendrocyte Precursor Cell","Group enriched"
"5730419I09Rik","Neuron","Group enriched"
"5730419I09Rik","Oligodendrocyte Precursor Cell","Group enriched"
"5730419I09Rik","Astrocytes","Group enriched"
"5730419I09Rik","Newly Formed Oligodendrocyte","Group enriched"
"5730419I09Rik","Endothelial Cells","Group enriched"
"Esco1","Astrocytes","Group enriched"
"Esco1","Endothelial Cells","Group enriched"
"Esco1","Oligodendrocyte Precursor Cell","Group enriched"
"Esco1","Neuron","Group enriched"
"Esco1","Newly Formed Oligodendrocyte","Group enriched"
"Elp4","Astrocytes","Group enriched"
"Elp4","Oligodendrocyte Precursor Cell","Group enriched"
"Elp4","Newly Formed Oligodendrocyte","Group enriched"
"Elp4","Neuron","Group enriched"
"Elp4","Endothelial Cells","Group enriched"
"Elp4","Myelinating Oligodendrocytes","Group enriched"
"Haus3","Astrocytes","Group enriched"
"Haus3","Endothelial Cells","Group enriched"
"Haus3","Oligodendrocyte Precursor Cell","Group enriched"
"Haus3","Neuron","Group enriched"
"Haus3","Newly Formed Oligodendrocyte","Group enriched"
"Dbc1","Oligodendrocyte Precursor Cell","Group enriched"
"Dbc1","Newly Formed Oligodendrocyte","Group enriched"
"Dbc1","Neuron","Group enriched"
"2610005L07Rik","Astrocytes","Group enriched"
"2610005L07Rik","Neuron","Group enriched"
"2610005L07Rik","Oligodendrocyte Precursor Cell","Group enriched"
"2610005L07Rik","Endothelial Cells","Group enriched"
"2610005L07Rik","Newly Formed Oligodendrocyte","Group enriched"
"Tmem91","Neuron","Tissue enriched"
"Iqcb1","Neuron","Group enriched"
"Iqcb1","Astrocytes","Group enriched"
"Iqcb1","Oligodendrocyte Precursor Cell","Group enriched"
"Iqcb1","Endothelial Cells","Group enriched"
"Iqcb1","Newly Formed Oligodendrocyte","Group enriched"
"Slc22a8","Endothelial Cells","Tissue enriched"
"Dync1i1","Neuron","Tissue enriched"
"Tsku","Astrocytes","Tissue enriched"
"Usp1","Oligodendrocyte Precursor Cell","Group enriched"
"Usp1","Endothelial Cells","Group enriched"
"Usp1","Astrocytes","Group enriched"
"Usp1","Newly Formed Oligodendrocyte","Group enriched"
"Usp1","Neuron","Group enriched"
"Usp1","Myelinating Oligodendrocytes","Group enriched"
"Myst4","Astrocytes","Group enriched"
"Myst4","Neuron","Group enriched"
"Myst4","Oligodendrocyte Precursor Cell","Group enriched"
"Myst4","Endothelial Cells","Group enriched"
"Myst4","Newly Formed Oligodendrocyte","Group enriched"
"Raph1","Endothelial Cells","Group enriched"
"Raph1","Neuron","Group enriched"
"Raph1","Oligodendrocyte Precursor Cell","Group enriched"
"Raph1","Astrocytes","Group enriched"
"Raph1","Newly Formed Oligodendrocyte","Group enriched"
"Sp4","Neuron","Group enriched"
"Sp4","Oligodendrocyte Precursor Cell","Group enriched"
"Sp4","Astrocytes","Group enriched"
"Sp4","Endothelial Cells","Group enriched"
"Sp4","Newly Formed Oligodendrocyte","Group enriched"
"Klf12","Oligodendrocyte Precursor Cell","Group enriched"
"Klf12","Astrocytes","Group enriched"
"Klf12","Neuron","Group enriched"
"Klf12","Endothelial Cells","Group enriched"
"Klf12","Newly Formed Oligodendrocyte","Group enriched"
"Mpv17l","Neuron","Group enriched"
"Mpv17l","Newly Formed Oligodendrocyte","Group enriched"
"Mpv17l","Myelinating Oligodendrocytes","Group enriched"
"Mpv17l","Oligodendrocyte Precursor Cell","Group enriched"
"Mpv17l","Astrocytes","Group enriched"
"Dpp6","Oligodendrocyte Precursor Cell","Group enriched"
"Dpp6","Newly Formed Oligodendrocyte","Group enriched"
"Dpp6","Neuron","Group enriched"
"Katnal1","Newly Formed Oligodendrocyte","Group enriched"
"Katnal1","Myelinating Oligodendrocytes","Group enriched"
"Katnal1","Neuron","Group enriched"
"Katnal1","Oligodendrocyte Precursor Cell","Group enriched"
"Katnal1","Astrocytes","Group enriched"
"Hes5","Astrocytes","Group enriched"
"Hes5","Oligodendrocyte Precursor Cell","Group enriched"
"Tub","Oligodendrocyte Precursor Cell","Group enriched"
"Tub","Neuron","Group enriched"
"Tub","Newly Formed Oligodendrocyte","Group enriched"
"Tbc1d12","Oligodendrocyte Precursor Cell","Group enriched"
"Tbc1d12","Endothelial Cells","Group enriched"
"Tbc1d12","Newly Formed Oligodendrocyte","Group enriched"
"Tbc1d12","Astrocytes","Group enriched"
"Tbc1d12","Neuron","Group enriched"
"Tbc1d12","Myelinating Oligodendrocytes","Group enriched"
"Lhx2","Astrocytes","Group enriched"
"Lhx2","Neuron","Group enriched"
"Lhx2","Oligodendrocyte Precursor Cell","Group enriched"
"Aldh5a1","Astrocytes","Group enriched"
"Aldh5a1","Oligodendrocyte Precursor Cell","Group enriched"
"Aldh5a1","Neuron","Group enriched"
"Aldh5a1","Newly Formed Oligodendrocyte","Group enriched"
"Aldh5a1","Myelinating Oligodendrocytes","Group enriched"
"Prickle2","Oligodendrocyte Precursor Cell","Group enriched"
"Prickle2","Neuron","Group enriched"
"Prickle2","Myelinating Oligodendrocytes","Group enriched"
"Prickle2","Newly Formed Oligodendrocyte","Group enriched"
"Prickle2","Astrocytes","Group enriched"
"Echdc1","Astrocytes","Group enriched"
"Echdc1","Newly Formed Oligodendrocyte","Group enriched"
"Echdc1","Myelinating Oligodendrocytes","Group enriched"
"Echdc1","Oligodendrocyte Precursor Cell","Group enriched"
"Echdc1","Endothelial Cells","Group enriched"
"Echdc1","Neuron","Group enriched"
"Lrp11","Neuron","Group enriched"
"Lrp11","Oligodendrocyte Precursor Cell","Group enriched"
"Xrn1","Astrocytes","Group enriched"
"Xrn1","Neuron","Group enriched"
"Xrn1","Oligodendrocyte Precursor Cell","Group enriched"
"Xrn1","Endothelial Cells","Group enriched"
"Xrn1","Newly Formed Oligodendrocyte","Group enriched"
"Cep78","Astrocytes","Group enriched"
"Cep78","Oligodendrocyte Precursor Cell","Group enriched"
"Cep78","Endothelial Cells","Group enriched"
"Cep78","Newly Formed Oligodendrocyte","Group enriched"
"Cep78","Neuron","Group enriched"
"Cep78","Myelinating Oligodendrocytes","Group enriched"
"Rbfox1","Neuron","Group enriched"
"Rbfox1","Oligodendrocyte Precursor Cell","Group enriched"
"Phkg1","Astrocytes","Tissue enriched"
"Unc13b","Astrocytes","Group enriched"
"Unc13b","Endothelial Cells","Group enriched"
"Unc13b","Neuron","Group enriched"
"Unc13b","Oligodendrocyte Precursor Cell","Group enriched"
"Unc13b","Newly Formed Oligodendrocyte","Group enriched"
"Dpysl5","Neuron","Tissue enriched"
"Nmnat2","Oligodendrocyte Precursor Cell","Group enriched"
"Nmnat2","Neuron","Group enriched"
"Nmnat2","Newly Formed Oligodendrocyte","Group enriched"
"Ralgapa1","Neuron","Group enriched"
"Ralgapa1","Astrocytes","Group enriched"
"Ralgapa1","Endothelial Cells","Group enriched"
"Ralgapa1","Oligodendrocyte Precursor Cell","Group enriched"
"Ralgapa1","Newly Formed Oligodendrocyte","Group enriched"
"Guf1","Astrocytes","Group enriched"
"Guf1","Oligodendrocyte Precursor Cell","Group enriched"
"Guf1","Neuron","Group enriched"
"Guf1","Endothelial Cells","Group enriched"
"Guf1","Newly Formed Oligodendrocyte","Group enriched"
"Cast","Endothelial Cells","Tissue enriched"
"Adora2a","Endothelial Cells","Tissue enriched"
"Mir686","Endothelial Cells","Group enriched"
"Mir686","Newly Formed Oligodendrocyte","Group enriched"
"1700025K23Rik","Oligodendrocyte Precursor Cell","Group enriched"
"1700025K23Rik","Neuron","Group enriched"
"1700025K23Rik","Newly Formed Oligodendrocyte","Group enriched"
"1700025K23Rik","Myelinating Oligodendrocytes","Group enriched"
"1700025K23Rik","Astrocytes","Group enriched"
"1700025K23Rik","Endothelial Cells","Group enriched"
"Napb","Neuron","Tissue enriched"
"Mysm1","Astrocytes","Group enriched"
"Mysm1","Oligodendrocyte Precursor Cell","Group enriched"
"Mysm1","Neuron","Group enriched"
"Mysm1","Newly Formed Oligodendrocyte","Group enriched"
"Mysm1","Endothelial Cells","Group enriched"
"Cap2","Astrocytes","Group enriched"
"Cap2","Oligodendrocyte Precursor Cell","Group enriched"
"Cap2","Neuron","Group enriched"
"Acvr2a","Neuron","Group enriched"
"Acvr2a","Oligodendrocyte Precursor Cell","Group enriched"
"Acvr2a","Endothelial Cells","Group enriched"
"Acvr2a","Astrocytes","Group enriched"
"Acvr2a","Newly Formed Oligodendrocyte","Group enriched"
"Pdp1","Neuron","Group enriched"
"Pdp1","Endothelial Cells","Group enriched"
"Pdp1","Astrocytes","Group enriched"
"Pdp1","Oligodendrocyte Precursor Cell","Group enriched"
"Acot11","Astrocytes","Group enriched"
"Acot11","Oligodendrocyte Precursor Cell","Group enriched"
"Tbr1","Neuron","Tissue enriched"
"Rims3","Neuron","Tissue enriched"
"Siah1b","Astrocytes","Group enriched"
"Siah1b","Oligodendrocyte Precursor Cell","Group enriched"
"Siah1b","Endothelial Cells","Group enriched"
"Siah1b","Neuron","Group enriched"
"Siah1b","Newly Formed Oligodendrocyte","Group enriched"
"Tinagl1","Endothelial Cells","Tissue enriched"
"Lnx2","Endothelial Cells","Tissue enriched"
"Lrig1","Astrocytes","Tissue enriched"
"Zfp800","Astrocytes","Group enriched"
"Zfp800","Endothelial Cells","Group enriched"
"Zfp800","Oligodendrocyte Precursor Cell","Group enriched"
"Zfp800","Newly Formed Oligodendrocyte","Group enriched"
"Zfp800","Neuron","Group enriched"
"Slc6a7","Neuron","Tissue enriched"
"Ints6","Astrocytes","Group enriched"
"Ints6","Endothelial Cells","Group enriched"
"Ints6","Newly Formed Oligodendrocyte","Group enriched"
"Ints6","Oligodendrocyte Precursor Cell","Group enriched"
"Ints6","Neuron","Group enriched"
"Camk1g","Neuron","Group enriched"
"Camk1g","Oligodendrocyte Precursor Cell","Group enriched"
"Camk1g","Astrocytes","Group enriched"
"C130074G19Rik","Endothelial Cells","Tissue enriched"
"Eml1","Newly Formed Oligodendrocyte","Group enriched"
"Eml1","Myelinating Oligodendrocytes","Group enriched"
"Mark1","Neuron","Group enriched"
"Mark1","Oligodendrocyte Precursor Cell","Group enriched"
"Mark1","Astrocytes","Group enriched"
"Mark1","Newly Formed Oligodendrocyte","Group enriched"
"Mark1","Myelinating Oligodendrocytes","Group enriched"
"Atr","Astrocytes","Group enriched"
"Atr","Oligodendrocyte Precursor Cell","Group enriched"
"Atr","Endothelial Cells","Group enriched"
"Atr","Neuron","Group enriched"
"Atr","Newly Formed Oligodendrocyte","Group enriched"
"Zfp68","Endothelial Cells","Group enriched"
"Zfp68","Oligodendrocyte Precursor Cell","Group enriched"
"Zfp68","Neuron","Group enriched"
"Zfp68","Astrocytes","Group enriched"
"Zfp68","Newly Formed Oligodendrocyte","Group enriched"
"Zmym5","Astrocytes","Group enriched"
"Zmym5","Neuron","Group enriched"
"Zmym5","Endothelial Cells","Group enriched"
"Zmym5","Oligodendrocyte Precursor Cell","Group enriched"
"Zmym5","Newly Formed Oligodendrocyte","Group enriched"
"Mest","Astrocytes","Group enriched"
"Mest","Oligodendrocyte Precursor Cell","Group enriched"
"Mest","Endothelial Cells","Group enriched"
"Mest","Neuron","Group enriched"
"D3Bwg0562e","Neuron","Group enriched"
"D3Bwg0562e","Oligodendrocyte Precursor Cell","Group enriched"
"Sec22c","Neuron","Group enriched"
"Sec22c","Oligodendrocyte Precursor Cell","Group enriched"
"Sec22c","Newly Formed Oligodendrocyte","Group enriched"
"Sec22c","Astrocytes","Group enriched"
"Sec22c","Myelinating Oligodendrocytes","Group enriched"
"Trim12c","Endothelial Cells","Group enriched"
"Trim12c","Astrocytes","Group enriched"
"Rragd","Astrocytes","Group enriched"
"Rragd","Oligodendrocyte Precursor Cell","Group enriched"
"Rragd","Newly Formed Oligodendrocyte","Group enriched"
"Rragd","Neuron","Group enriched"
"Col1a2","Oligodendrocyte Precursor Cell","Tissue enriched"
"Zfp292","Astrocytes","Group enriched"
"Zfp292","Endothelial Cells","Group enriched"
"Zfp292","Neuron","Group enriched"
"Zfp292","Oligodendrocyte Precursor Cell","Group enriched"
"Zfp292","Newly Formed Oligodendrocyte","Group enriched"
"C1ql1","Oligodendrocyte Precursor Cell","Group enriched"
"C1ql1","Newly Formed Oligodendrocyte","Group enriched"
"Dio2","Astrocytes","Tissue enriched"
"Mbd5","Astrocytes","Group enriched"
"Mbd5","Neuron","Group enriched"
"Mbd5","Oligodendrocyte Precursor Cell","Group enriched"
"Mbd5","Endothelial Cells","Group enriched"
"Mbd5","Newly Formed Oligodendrocyte","Group enriched"
"Blzf1","Astrocytes","Group enriched"
"Blzf1","Newly Formed Oligodendrocyte","Group enriched"
"Blzf1","Endothelial Cells","Group enriched"
"Blzf1","Oligodendrocyte Precursor Cell","Group enriched"
"Blzf1","Neuron","Group enriched"
"Blzf1","Myelinating Oligodendrocytes","Group enriched"
"Aifm3","Astrocytes","Tissue enriched"
"Mgp","Endothelial Cells","Tissue enriched"
"Clybl","Astrocytes","Group enriched"
"Clybl","Endothelial Cells","Group enriched"
"Clybl","Neuron","Group enriched"
"Clybl","Oligodendrocyte Precursor Cell","Group enriched"
"Naa16","Astrocytes","Group enriched"
"Naa16","Oligodendrocyte Precursor Cell","Group enriched"
"Naa16","Endothelial Cells","Group enriched"
"Naa16","Newly Formed Oligodendrocyte","Group enriched"
"Naa16","Neuron","Group enriched"
"Matn4","Oligodendrocyte Precursor Cell","Group enriched"
"Matn4","Newly Formed Oligodendrocyte","Group enriched"
"Wnt7b","Neuron","Group enriched"
"Wnt7b","Oligodendrocyte Precursor Cell","Group enriched"
"Wnt7b","Astrocytes","Group enriched"
"Smpd3","Neuron","Group enriched"
"Smpd3","Oligodendrocyte Precursor Cell","Group enriched"
"Smpd3","Astrocytes","Group enriched"
"Slc7a11","Astrocytes","Tissue enriched"
"Fam179b","Astrocytes","Group enriched"
"Fam179b","Endothelial Cells","Group enriched"
"Fam179b","Neuron","Group enriched"
"Fam179b","Oligodendrocyte Precursor Cell","Group enriched"
"Fam179b","Newly Formed Oligodendrocyte","Group enriched"
"Casz1","Neuron","Tissue enriched"
"Shank2","Neuron","Group enriched"
"Shank2","Oligodendrocyte Precursor Cell","Group enriched"
"Mansc1","Endothelial Cells","Group enriched"
"Mansc1","Astrocytes","Group enriched"
"Prune2","Neuron","Group enriched"
"Prune2","Oligodendrocyte Precursor Cell","Group enriched"
"Prune2","Newly Formed Oligodendrocyte","Group enriched"
"Alg13","Oligodendrocyte Precursor Cell","Group enriched"
"Alg13","Neuron","Group enriched"
"Alg13","Astrocytes","Group enriched"
"Alg13","Endothelial Cells","Group enriched"
"Alg13","Newly Formed Oligodendrocyte","Group enriched"
"Alg13","Myelinating Oligodendrocytes","Group enriched"
"Tmem167","Newly Formed Oligodendrocyte","Group enriched"
"Tmem167","Oligodendrocyte Precursor Cell","Group enriched"
"Tmem167","Neuron","Group enriched"
"Tmem167","Astrocytes","Group enriched"
"Tmem167","Myelinating Oligodendrocytes","Group enriched"
"Tmem167","Endothelial Cells","Group enriched"
"Tmem35","Oligodendrocyte Precursor Cell","Group enriched"
"Tmem35","Neuron","Group enriched"
"Tmem35","Newly Formed Oligodendrocyte","Group enriched"
"Zap70","Endothelial Cells","Tissue enriched"
"Kirrel3","Newly Formed Oligodendrocyte","Group enriched"
"Kirrel3","Astrocytes","Group enriched"
"Kirrel3","Myelinating Oligodendrocytes","Group enriched"
"Kirrel3","Oligodendrocyte Precursor Cell","Group enriched"
"Kirrel3","Neuron","Group enriched"
"Pdk4","Astrocytes","Group enriched"
"Pdk4","Endothelial Cells","Group enriched"
"Arid4b","Astrocytes","Group enriched"
"Arid4b","Endothelial Cells","Group enriched"
"Arid4b","Neuron","Group enriched"
"Arid4b","Newly Formed Oligodendrocyte","Group enriched"
"Arid4b","Oligodendrocyte Precursor Cell","Group enriched"
"C430048L16Rik","Neuron","Group enriched"
"C430048L16Rik","Oligodendrocyte Precursor Cell","Group enriched"
"C430048L16Rik","Astrocytes","Group enriched"
"C430048L16Rik","Newly Formed Oligodendrocyte","Group enriched"
"C430048L16Rik","Endothelial Cells","Group enriched"
"Pamr1","Astrocytes","Tissue enriched"
"Dner","Oligodendrocyte Precursor Cell","Group enriched"
"Dner","Neuron","Group enriched"
"Dner","Astrocytes","Group enriched"
"Dner","Newly Formed Oligodendrocyte","Group enriched"
"St8sia4","Endothelial Cells","Tissue enriched"
"Gbp7","Astrocytes","Group enriched"
"Gbp7","Endothelial Cells","Group enriched"
"Lrrn2","Oligodendrocyte Precursor Cell","Group enriched"
"Lrrn2","Neuron","Group enriched"
"Lrrn2","Astrocytes","Group enriched"
"Lrrn2","Newly Formed Oligodendrocyte","Group enriched"
"Asphd1","Neuron","Tissue enriched"
"Dkk3","Neuron","Group enriched"
"Dkk3","Astrocytes","Group enriched"
"Anks1b","Oligodendrocyte Precursor Cell","Group enriched"
"Anks1b","Newly Formed Oligodendrocyte","Group enriched"
"Anks1b","Myelinating Oligodendrocytes","Group enriched"
"Anks1b","Neuron","Group enriched"
"Rasip1","Endothelial Cells","Tissue enriched"
"Klhdc8a","Neuron","Tissue enriched"
"Itih3","Astrocytes","Tissue enriched"
"Heg1","Endothelial Cells","Tissue enriched"
"Srrm3","Neuron","Group enriched"
"Srrm3","Oligodendrocyte Precursor Cell","Group enriched"
"Prox1","Neuron","Group enriched"
"Prox1","Newly Formed Oligodendrocyte","Group enriched"
"Prox1","Myelinating Oligodendrocytes","Group enriched"
"Prox1","Oligodendrocyte Precursor Cell","Group enriched"
"Prox1","Astrocytes","Group enriched"
"0610010F05Rik","Neuron","Group enriched"
"0610010F05Rik","Newly Formed Oligodendrocyte","Group enriched"
"0610010F05Rik","Endothelial Cells","Group enriched"
"0610010F05Rik","Astrocytes","Group enriched"
"0610010F05Rik","Oligodendrocyte Precursor Cell","Group enriched"
"0610010F05Rik","Myelinating Oligodendrocytes","Group enriched"
"Mars2","Astrocytes","Group enriched"
"Mars2","Oligodendrocyte Precursor Cell","Group enriched"
"Mars2","Newly Formed Oligodendrocyte","Group enriched"
"Mars2","Neuron","Group enriched"
"Mars2","Endothelial Cells","Group enriched"
"Mars2","Myelinating Oligodendrocytes","Group enriched"
"Zfp397","Oligodendrocyte Precursor Cell","Group enriched"
"Zfp397","Astrocytes","Group enriched"
"Zfp397","Neuron","Group enriched"
"Zfp397","Newly Formed Oligodendrocyte","Group enriched"
"Zfp397","Endothelial Cells","Group enriched"
"Epdr1","Oligodendrocyte Precursor Cell","Group enriched"
"Epdr1","Astrocytes","Group enriched"
"Epdr1","Neuron","Group enriched"
